Guid,AccountId,ParentId,SuppliedName,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Subject,Priority,Description,ClosedDate,IsEscalated,Comments,Application__c,TypeDetail__c
03863cb0-a5b3-4c65-b94d-a576fc20ad9d,c04535d6-3b03-4471-9d92-a7eeee020633,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
03e8d14a-144f-405b-a2e3-246e4b4abfbf,9333181a-1ade-41d1-99df-5746a40c6297,#N/A,#N/A,#N/A,#N/A,Problem,Pending Approval,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
03fe4b33-a0c9-476b-908c-ce18f8f21ab8,96a0aa19-fea9-4aa1-a3f2-ac32b83d8c7b,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
04066cae-d625-49cc-ac0e-18e430714936,acb8f2e5-ee1c-439f-ace7-ecd3dafd39d3,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
0416f46c-24a1-4fed-8e58-a75e81998600,6535c813-0337-4283-bf83-a393eb8409a6,#N/A,#N/A,#N/A,#N/A,Question,Rejected,User didn't attend training,Question,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
041df086-8e8f-49c3-beea-59d826fdfd51,e194e73c-3ba6-4659-b1a1-ec3f3d6447d5,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
04375fd2-c3ce-4050-a780-e3dbf2e117ab,bfced549-a21e-4014-a983-69b9451da88b,#N/A,#N/A,#N/A,#N/A,Problem,Escalated,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
043ffe2f-0270-416b-8232-439a86b515ad,194db487-dbcb-490c-9aa3-ad8d79e8d218,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
0449a217-918b-4164-9269-c4a7c32abd5f,13a49e92-6430-43d4-9c00-53a889d663cc,#N/A,#N/A,#N/A,#N/A,Problem,On Hold,Existing problem,Components not working as expected,Medium,Prefers Direct Phone Outreach,#N/A,false,#N/A,#N/A,#N/A
0483e66c-7caa-4bca-96f5-156af4b2debc,0b4472dd-cd27-49cb-9f9b-9232030c8180,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
048c582f-360f-43a8-9cdc-8e5b9bdd84b3,73c86d35-b1f1-4a47-86e6-2e8859fdd52e,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
04916803-98ee-45d2-8102-46c03a9212df,6dde0d65-5526-4ac0-9f79-3ab959230fa4,#N/A,#N/A,#N/A,#N/A,Problem,Escalated,New problem,Faulty widget,Medium,Prefers Direct Phone Outreach,#N/A,false,#N/A,#N/A,#N/A
04b5be08-4588-48db-94f0-fcfec079f8ff,0398fd28-1bd9-4d80-9a60-7bf24803b235,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
04d54300-c02a-4b18-b762-58c3ac4661de,d41a39f8-2c8f-4cf5-8358-6499eaa36f00,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
052e2b9e-2361-4bdd-be57-4616f9acb15c,f73c5413-b908-4339-b851-f6b6cdf329fe,#N/A,#N/A,#N/A,#N/A,Problem,Pending Approval,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
052ffdda-f7f4-48d2-a0c4-b5192e92e913,0bd2e3f8-3ad1-4df2-9352-55b470d35679,#N/A,#N/A,#N/A,#N/A,Question,Escalated,Instructions not clear,How to create labels template?,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
057044d0-5b3f-4c6b-bd2d-a5d7b3883d85,e5535f2a-1f31-4531-bba3-ab9fb3d061b4,#N/A,#N/A,#N/A,#N/A,Question,On Hold,Complex functionality,How to schedule a usage report,Medium,How can we schedule usage reports to be emailed to managers each week?,#N/A,false,#N/A,#N/A,#N/A
05810ff4-19d9-46da-bacd-6ecdfb297729,248a4307-6b1b-40bf-b753-3db497ba68f6,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
05f19b1f-42ca-471e-baa3-ac335801d008,a324ffa8-fd95-445e-85c8-3f4f6facddb4,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
05f605c7-7e3a-45ef-9d13-cb34ff585e22,bfced549-a21e-4014-a983-69b9451da88b,#N/A,#N/A,#N/A,#N/A,Question,Rejected,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
0600d39e-cbc9-49f0-9686-5ebb6b019722,73c86d35-b1f1-4a47-86e6-2e8859fdd52e,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
0613cc73-392a-4205-b5d6-10a33df29109,f73c5413-b908-4339-b851-f6b6cdf329fe,#N/A,#N/A,#N/A,#N/A,Question,On Hold,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
0626d314-7aa4-449f-bff7-e4e618e96afe,f1c32ce4-3ccf-4dab-becc-f218e8d2b99d,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
0636c0bc-a474-4d2c-b831-291369a9adff,1f9367e0-d436-4ac6-b306-a154849af663,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
06558601-86f0-4975-a382-f3ec87dcbe12,4545c68e-3d88-470d-9a03-9f7bf0ad5c0f,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
06768f85-88f4-4a1c-89bb-4de6204253f4,e86c4296-8214-4c15-9aa2-baecac9669e4,#N/A,#N/A,#N/A,#N/A,Question,Approved,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
06a34f60-eaa9-4470-907a-2fd9bd21829d,0f8a10e2-6452-4183-a84d-14a91745e239,#N/A,#N/A,#N/A,#N/A,Feature Request,New,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
06aa57b6-486a-4a00-b46e-b9fc762a5a53,33e6bf88-a0be-4e78-a78c-4592fd55cc28,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
071f89d2-e2f2-4892-a56e-91769eca4aa2,9410b13b-3544-4b02-9ecc-e19433d09762,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
074199c7-8945-4750-9ec0-4e667bf3e2bd,1519e96b-99b1-4097-ae37-ec74c9108886,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
0764bbeb-0d58-4051-9373-db3cb86d440d,e194e73c-3ba6-4659-b1a1-ec3f3d6447d5,#N/A,#N/A,#N/A,#N/A,Question,Pending Approval,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
07baa734-4233-4b7a-914c-03791ef5df3c,0bd2e3f8-3ad1-4df2-9352-55b470d35679,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
07c6c783-1bce-46a0-8ad0-fb5ec745d08b,0256788a-f0ca-4172-b29d-6e29d4b14857,#N/A,#N/A,#N/A,#N/A,Question,New,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
07c971fa-1481-4c42-8f54-76abb4ebc46e,741115f7-cde1-4b78-b12c-b05c2930f236,#N/A,#N/A,#N/A,#N/A,Question,New,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
08350ed7-859e-4d82-82a8-6ce13c3ecbbf,7b753d85-d05d-418b-aab1-fe8aea56ee08,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
08ab262c-1f72-4359-aff6-b6553bc2d898,5a6db95f-00b2-4dcf-b37d-79c06c8b14d1,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
08ca28b4-b9e4-4238-b30d-a9ae147ae79f,73c86d35-b1f1-4a47-86e6-2e8859fdd52e,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
08e70eca-2ea2-4edb-831a-dcfcc3225545,9333181a-1ade-41d1-99df-5746a40c6297,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
092f5b7a-6344-44e2-bbd9-1d2ef1b16d4f,5eb47423-6885-4372-8518-6da514b5c6ba,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
093f9369-497c-4e78-acdb-32020a0ba082,5352d30f-c1da-4e4f-afa7-513cac1b302e,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
09646f56-200f-4316-8496-d665d66e6a78,234f1e80-1419-42a4-a1f3-ce66ac51ae32,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
09952cb1-bbc3-4db7-8069-6e13a7bd07f2,ebed885b-dd15-4095-b2a0-8f62e29938b3,#N/A,#N/A,#N/A,#N/A,Problem,Escalated,User didn't attend training,PPTX is Not working for Single record,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
09caf97c-2e19-4ac6-a177-fda8b50274b6,0398fd28-1bd9-4d80-9a60-7bf24803b235,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
0a0065f6-0949-4684-b3a8-dc17475b913c,f1c32ce4-3ccf-4dab-becc-f218e8d2b99d,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
0a9a5dfe-c765-424c-9e58-b08a1613a38e,e1d39001-c48a-4c58-a267-74467f7ab984,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
0b336c21-145c-4d11-b785-301e429133c4,c1855370-0d7a-4679-86dd-f2cc4d66dd81,#N/A,#N/A,#N/A,#N/A,Feature Request,Pending Approval,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
0b697527-9c66-487c-8b06-a18906b1985d,6535c813-0337-4283-bf83-a393eb8409a6,#N/A,#N/A,#N/A,#N/A,Question,Approved,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
0bbb5773-ae66-4bb3-be88-38c671521e90,87156483-1302-4425-9d89-af66a38da709,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
0bc25cd2-0da1-4477-bd90-6cec40e73af8,55399ccd-1e57-4d97-9b26-29b559467e57,#N/A,#N/A,#N/A,#N/A,Problem,Rejected,User didn't attend training,Adding new merge field to a template,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
0c002a60-14c6-48eb-96d8-7c1304c6b7d7,460ebf45-bb49-4a1e-86c0-e1102ba24754,#N/A,#N/A,#N/A,#N/A,Problem,Approved,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
0c31418f-3df0-4ba4-a6c1-d6f368a7f779,c04535d6-3b03-4471-9d92-a7eeee020633,#N/A,#N/A,#N/A,#N/A,Problem,Closed,Complex functionality,Installing DatePicker,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
0c4077dc-6fe2-468a-a866-9e3be7cb5657,61854c14-7a47-4b13-aadf-6cfcfc93a62d,#N/A,#N/A,#N/A,#N/A,Problem,Approved,New problem,Advanced widgets are malfunctioning,Medium,The advanced widgets seem to be getting more advanced.  Is there anything we can do?,#N/A,false,#N/A,#N/A,#N/A
0c408fe0-9306-4e81-8f14-48d107fa099d,1519e96b-99b1-4097-ae37-ec74c9108886,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
0c664782-26ad-4f60-9b2a-7bb7f678c207,adeb040f-63d8-4680-9ec7-cdb4472302a6,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
0c6e1f9c-fed9-41eb-bb75-c5b0bf7703a0,f14cef52-4630-4ac2-85f1-87da336da157,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
0c73e498-995b-433a-a104-7fa935804947,b19ea706-ee1c-40d8-96ba-fe6d98a1c1f9,#N/A,#N/A,#N/A,#N/A,Feature Request,Closed,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
0c8e76a8-8523-4dbe-af31-596686c5b89a,87156483-1302-4425-9d89-af66a38da709,#N/A,#N/A,#N/A,#N/A,Question,On Hold,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
0cb1c6ef-2ca5-46ef-afb7-4f96704d0474,0398fd28-1bd9-4d80-9a60-7bf24803b235,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,Widgets aren't waterproof,Low,Is it possible to make our widgets waterproof?,#N/A,false,#N/A,#N/A,#N/A
0d232fc1-9856-43c8-927e-2f2796ed3dcc,f2b0e8aa-f8a1-4619-a1dc-35bfdc124e30,#N/A,#N/A,#N/A,#N/A,Problem,New,New problem,Quickmerge Setup,Medium,User Needs Help,#N/A,false,#N/A,#N/A,#N/A
0d4fde4b-fe71-46d7-98c3-952df484bac3,ee6c746f-dc05-406a-97d5-3e43b63b09c2,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
0d50c133-83a9-406c-aead-9f2e68eadf98,608a2818-8f9a-403a-999c-69cf93e59142,#N/A,#N/A,#N/A,#N/A,Problem,On Hold,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
0d65866f-fe03-4643-ab03-0591aaf63616,4062dbac-734a-4e1b-a2f0-2cdca4ff654d,#N/A,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
0d85ad32-88c2-4ec9-81ab-93c21ba826d8,87156483-1302-4425-9d89-af66a38da709,#N/A,#N/A,#N/A,#N/A,Question,Pending Approval,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
0db1bcc6-192d-4e79-9115-d1db7454b4bd,73c86d35-b1f1-4a47-86e6-2e8859fdd52e,#N/A,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
0dbb2ca9-43cf-44ab-b8a6-153f6aa45364,c8a90863-4b19-44af-8769-6bb896030a2f,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
0dbc89e6-48f1-4450-8251-403951bd5a2d,adeb040f-63d8-4680-9ec7-cdb4472302a6,#N/A,#N/A,#N/A,#N/A,Problem,On Hold,Existing problem,Deployment Needed,Medium,#N/A,#N/A,false,#N/A,#N/A,#N/A
0ddf33db-7bf9-467a-bd38-5e5be3eca086,9f02fb41-c8b5-4158-b316-e224def670bc,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
0dec9474-ea02-4fb6-9f4d-b149d37968b6,3c0d3d73-cf7f-4776-a50e-6cd42bb075c1,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
0dfd8db7-77de-4f83-9caa-17838350301f,caecaebe-1058-4c8b-b4fb-080bbd06487a,#N/A,#N/A,#N/A,#N/A,Feature Request,On Hold,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
0e6664f5-8e0c-4ed0-ae85-90f9d54943be,0bd2e3f8-3ad1-4df2-9352-55b470d35679,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
0e698864-df47-4c38-82cd-594582e6c18c,33d52351-c36f-4c85-939b-d767f602eed2,#N/A,#N/A,#N/A,#N/A,Feature Request,New,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
0f118f8e-47fd-46df-8bf5-a85c12dbecdd,49653fb5-154c-4d45-a89f-0d519526158a,#N/A,#N/A,#N/A,#N/A,Feature Request,Approved,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
